job_id,job_title,company,descriptions,location,category,subcategory,type,salary
72761527,data engineer,anhsin technology sdn bhd,design develop and maintain scalable and robust data architecture create and manage databases data processing systems and data integration solutions develop and implement efficient etl processes for data ingestion and transformation ensure data quality and integrity throughout the etl pipeline design and implement data models for optimal storage and retrieval build and maintain data warehouses for analysis and reporting purposes monitor and optimize database performance troubleshoot and resolve datarelated issues in a timely manner work with stakeholders to understand data requirements and translate them into effective database structures implement and enforce data security measures and compliance standards collaborate with crossfunctional teams including ai engineer data scientists data analysts software engineers and devops bachelors degree or higher education qualification in computer science software engineering or a related field proven experience as a data engineer or similar role able to speak in english and mandarin handson experience with data warehousing etl processes and database management proficiency in sql and one or more programming languages eg python java javascript knowledge of data modelling and database design principles strong proficiency with etl tools such as apache airflow and dagster familiarity with big data technologies eg hadoop spark understanding of data governance principles and practices exposure to machine learning concepts and integration of machine learning models into data pipelines familiarity with containerization tools like docker and orchestration tools like kubernetes knowledge of streaming data technologies eg apache kafka experience with cloud platforms such as aws azure or google cloud how many years experience do you have as a data engineer whats your expected monthly basic salary which of the following programming languages are you experienced in how many years experience do you have using sql queries have you worked in a role which requires experience with machine learning,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time,
72787241,machine learning engineer ai,accordia global sdn bhd,design develop and deploy machine learning models for our ai assistants work with data scientists and engineers to build and maintain our data pipelines and infrastructure evaluate and improve the performance of our ai assistants collaborate with product managers and designers to ensure that our ai assistants meet the needs of our customers collaborate with a multifunctional agile team of data science ux ui design product management and engineering to build new features products services that delight our customers develop and create endtoend machine learning feedback loop and integrate it into various customer interaction applications improve existing machine learning models both in terms of model performance and computing performance help drive code review optimization testing and tooling to improve code quality and system reliability research and implement best practices to enhance existing machine learning infrastructure and process be part of an active group of data science and machine learning practitioners that shape the direction of machine learning and artificial intelligence of the organization bs or higher in computer science computer engineering or related technical fields involving machine learning or equivalent technical experience strong analytical and problemsolving skills proven software development skills in multiple programming languages eg python golang c react angular experience with machine learning software packages eg chatgpt keras scikitlearn xgboost tensorflow nltk caffe theano conversational platforms such as and nuance mix familiar with llm model such as chatgpt or googles bard familiarity with containerbased technologies eg docker kubernetes and devops practices eg code review automated testing ci cd logging performance monitoring frontend technologies such as react and react native nice to have familiar with relational nosql vector databases mysql mongodb weaviate etc strong communication skills collaborative mindset experience with data processing tools eg hadoop apache spark apache beam and cloud platforms eg aws azure gcp considered a plus competitive salary and benefits package opportunity to work on challenging and innovative projects collaborative and supportive work environment opportunities for professional development and growth we are a team of passionate and innovative engineers who are committed to building the best possible ai assistants for our customers we offer a collaborative and supportive work environment where everyone is valued and respected we are committed to professional development and growth and we offer our employees opportunities to learn and grow their skills we offer a competitive salary and benefits package if you are a talented and passionate machine learning engineer who is looking for a challenging and rewarding opportunity we encourage you to apply have you worked in a role which requires experience with machine learning whats your expected monthly basic salary how many years experience do you have as a machine learning engineer,shah alam/subang,science & technology,"mathematics, statistics & information sciences",full time,"RM 5,000 – RM 7,000 per month"
72866732,senior riskdata analyst,toyota capital malaysia sdn. bhd.,analyse data to better understand potential risks concerns and outcomes of decisions aggregate data from multiple sources to provide a comprehensive assessment create reports summaries presentations and process documents to display results collaborate with other team members to effectively analyse and present data develop systems and processes for gathering and storing data for future analytic projects conduct research into potential clients and understand the risks of accepting each one identify economic and financial trends that may present a risk to the company monitor internal and external data points that may affect the risk level of a decision to support adhoc tasks assigned by superior as and when required degree in mathematics statistics data analytics minimum 3 7 years of similar working experiences advance in excel and familiar with data analytics tool sas etc well versed in english and bahasa malaysia whats your expected monthly basic salary how many years experience do you have as a data analyst which of the following microsoft office products are you experienced with how much notice are you required to give your current employer which of the following data mining tools are you experienced with,petaling,banking & financial services,compliance & risk,full time,
72851872,senior data engineer hybrid working,seek,design development testing and operation of big data processing pipelines tools for managing and monitoring data systems and processes including quality security lifecycle deploy operate and support data infrastructure and services on databricks and aws maintaining system health ensuring that our systems are secure reliable resilient and cost effective growing the technical capabilities of more junior engineers through coaching and mentoring building and operating cloudbased data processing and warehousing solutions big data processing experience preferably databricks emr spark hadoop strong software engineering coding scripting advanced sql and database skills logical and physical data modelling ownership of deployments infrastructure system administration monitoring and operations ie devops data pipeline etl workflow orchestration with airflow databricks platform particularly spark structured streaming delta lakes unity catalog aws services particularly emr s3 but also iam cloudformation cdk lambda sns sqs ssm kafka technologies particularly kstreams dsl processor and producerconsumer apis develop clean code using good practices like cicd tdd pair programming code review experience with splunk andor datadog which of the following statements best describes your right to work in malaysia,kuala lumpur,information & communication technology,engineering - software,full time,
72526811,data scientist hybrid working,seek asia (jobstreet),research build deploy and maintain recommendations ai solutions integrated with recruitment products aiming to properly connect candidates to recruiters improve the chances of matching job placements to leverage our ai platform to the next level work with strategy product data science and software development teams to address a variety of challenging business problems collaborate with teams from asia pacific and america partners explore new methodologies and technologies to address rd problems in a truly collaborative way around 2 years of commercial experience a msc or phd qualification in computer science computational physics mathematics statistics or a related field professional experience in one of the following programming languages large scale development using python go cc or java strong background in algorithms and data structures information retrieval machine learning good communication and interpersonal skills large scale development using python go cc or java algorithms and data structures information retrieval machine learning ability to perform data exploratory analysis for proof of concepts and to communicate the results to a diverse audience practice with search engine such as elasticsearch or solr relational database such as mysql or postgresql amazon web services eg ec2 elb s3 vpc route 53 distributed processing framework such as hadoop or spark container package such as docker deployment tools such as ansible terraform and chef knowledge in recommender systems data mining natural language processing optimization deep learning ability to adapt quickly and manage an environment of rapid change and development search engine such as elasticsearch or solr relational database such as mysql or postgresql amazon web services eg ec2 elb s3 vpc route 53 distributed processing framework such as hadoop or spark container package such as docker deployment tools such as ansible terraform and chef recommender systems data mining natural language processing optimization deep learning forming clear data addressable problem statements from current business problems gathering validating and understanding data relevant to the problem statement designing and building data transformation pipelines and machine learning algorithms to solve the business problem working with product management and other business stakeholders to review and iterate data products to fit emerging market trends evangelising appropriate ml methods and explaining them and their associated benefits and limitations to team members from engineering and strategy,kuala lumpur,information & communication technology,developers/programmers,full time,
72762762,senior engineer engineer data management analytics,b. braun medical industries sdn. bhd.,build maintain and utilize a variety of databases to discover technical and marketing insights for the development of new solutions and improvement of existing products design and manage the integration of a multitude of databases to construct a relational database environment that will enable enhanced reporting and analysis within rd department deploy tools to continuously support data collection crosschannel data integration data visualization dashboards predictive analytics and data mining so that actionable trends opportunities and hypothesis can be determined to expedite rd projects contribute to product development roadmap and project planning process partnering with stakeholders to evolve rd infrastructure and data architecture to accommodate growing business needs data volume and complexity support and automate the ongoing analysis within department and key performance metrics through deep understanding of the organization needs and thus derive highly relevant prediction and analytics as the result of meaningful use of the data perform ad hoc analysis as assigned and identify new opportunities for valueadd analytics as needed bachelors degree in computer science software or computer engineering statistics or a related field at least 1 years of experience with data analytics familiar with developing queries analyzing data and developing reports dashboards and data insights fluency in sql and at least one other programming language experience in using reporting tools and querying languages such as sql sas crystal reports or similar experience in utilizing programming languages such as python r cc java scala or other similar languages experience with data visualizationmodeling related tools such as power bi tableau raw qlikview spotfire etc good to have experience in the medical device pharma biotech or healthcare related industries experience working in a regulated environment experience with clinical trial data is preferred experience working with healthcare data electronic health records etc is an added advantage whats your expected monthly basic salary which of the following data analytics tools are you experienced with,penang,engineering,other,full time,
72799675,data assistant,wheelers books,running reports to extract data following a specified schedule collating extracted data into spreadsheets book title data for uploading to website ensuring completeness and accuracy of title data information use multiple websites to clarify information for making decisions relating to accuracy of data from reports loading deting data into and out of the baskets on our websitedatabase updating master reports with a high attention to detail working closely with new zealand to ensure timely fulfilment of data onto website liaise with in house specialist librarians in new zealand regarding specific requests candidate must possess at least a diploma advancedhighergraduate diploma computer scienceinformation technology library management or equivalent excellent administrative skills 23 years experience with strong excel capabilities preferably with macro excel experience and strong all round computer skills accurate and efficient data administrative skills must have very strong written and spoken english and excellent communication skills be methodical organised and possess the ability to multitask whilst showing initiative and enthusiasm and passion for making a difference have strong investigation skills and possess the ability to think outside the square librarypublisherbook knowledge a bonus be flexible and open to change applicants must be willing to work in bangsar south whats your expected monthly basic salary how many years experience do you have as a data assistant which of the following microsoft office products are you experienced with do you have data entry experience how would you rate your english language skills how much notice are you required to give your current employer,bangsar south,administration & office support,data entry & word processing,full time,
72762141,executive business intelligence sas analyst,berjaya sompo insurance berhad,fulfil requests from senior management and business units on businesscritical information across the company as well as supporting key submissions of data and reporting to external regulatory bodies or authorities ensure that information delivered is provides useful business insight and is complete and highly accurate provide support to team members to ensure smooth operation of the team developing and maintaining a robust and materially correct database for reporting purposes produce maintain and enhance reports for various departments review data and reports for reasonableness and suitability advising on adjustments or enhancements where required liaising with other departments to verify the accuracy of the data and information in the reports promote datadriven culture in the organization bachelors degree in computer actuarial science statistics mathematics or related field minimum 1 years of experience in a similar business intelligence or data analytics role fresh graduate with internship experience in general insurance data analytics role may apply knowledge of programming languages such as sas and sql experience in data visualisation tool such as tableau business acumen as well as sensitivity to numbers good verbal and written communication ability to make logical and persuasive arguments adjusting as required for audiences with different backgrounds and seniority project management skills and high level of commitment to promises and businesscritical deadlines ability to work independently and collaboratively in a fastpaced working environment whats your expected monthly basic salary,kuala lumpur,insurance & superannuation,actuarial,full time,
72851569,senior product data analyst hybrid working,seek,act as an analytics champion in the organisation by driving or actively participating in analytics and agile rituals epic and roadmap planning across a broad range of company initiatives be a significant mover in building a strong datadriven analytics culture at jora across all levels of the organisation build strong relationships with our team of engineering operations and product experts take the time to understand their domains and analytical needs and collaborate to bring insights that support decision making represent analytics in technical conversations with engineers and product on data infrastructure and design do the right amount of thinking upfront to identify how to best measure performance and experiments what are we really trying to understand and what data will we need to build that understanding efficiently create and maintain dashboards for product business and operational metrics and to provide selfserve access to frequently used data insights and perspectives set up a robust process for receiving prioritising and executing other analytical requests from a wide range of stakeholders quickly and accurately extract meaningful relevant insights from data uncover and share clear conclusions and recommendations for action be curious interrogate data beyond the surface level share your unique expertise and perspective you will contribute to joras product and service design by raising ideas challenging ideas and collaborating with the team to drive better outcomes guide and mentor other analysts in the best analytical and data practices as well as other professional skills high level of comfort with ambiguity can drive progress through an agile test learn mindset knowledge of digital and app analytics or able to upskill in these domains quickly exceptional judgment and decisionmaking skills able to prioritise the critical few things to achieve real impact strong sql competence is required together with a demonstrated ability to manage large complex and possibly incomplete or sparsely documented data sets confident understanding of different database systems and their capabilities able to contribute to technical discussions with engineers on database capabilities and design and optimize queries models compelling and effective insights communication rather than just seeing numbers you see the overall story and can share that insight with stakeholders from different levels of seniority and domains strong communication skills that enable you to collaborate across multiple functions and teams able to build rapport identify needs deliver proposals and constructively challenge our thinking ability to balance quality with speed investing the right amount of timeeffort in developing learnings whilst recognising we need to make good decisions quickly experience with data visualisation tools andor coding skills with pythonr would be beneficial terms like ab testing cohort funnel analysis statistical power and statistical significance are second nature to you a willingness to rollup your sleeves and do stuff yourself in a small team everyone needs to pitchin comfortable with taking the lead and working autonomously whilst exercising good judgement about how and when to collaborate with others which of the following statements best describes your right to work in malaysia,kuala lumpur,information & communication technology,business/systems analysts,full time,
72720034,software business analyst,aia it (m) sdn bhd,liaise with stakeholders to review analyze and evaluate business applications and user needs perform requirements analysis documents requirements and revise existing system logic business processes and workflows as necessary identity business needs and define actions to improve the operation of it systems create user stories to manage requirements in agile working model manage internal stakeholders to drive sit uat line up application teams to come out with it solution according to user requirements 5 years or above ba experience on it related projects have experience in agile working model and user story writing comprehensive knowledge of software development process including software design and programming experience working in a collaborative team environment onshore and offshore advanced knowledge and ability to perform gap analysis process mapping root cause analysis risk analysis and requirements gathering excellent presentation written and verbal communication skills this role supports hong kong users cantonese communication skills is required have experience in life insurance is a plus have testing management experience is a plus whats your expected monthly basic salary how many years experience do you have as a business analyst how many years of project management experience do you have,kuala lumpur,information & communication technology,business/systems analysts,full time,
